epoch,step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,val_f1,val_loss
0,49,,0.05919661745429039,,0.9511163830757141,,
0,99,,0.21978022158145905,,0.8111484050750732,,
0,149,,0.5045592784881592,,0.5117604732513428,,
0,199,,0.3959899842739105,,0.6163393259048462,,
0,246,,,,,0.4470755159854889,0.680096447467804
0,246,0.12044664472341537,,0.7790201902389526,,,
1,249,,0.5091384053230286,,0.49260711669921875,,
1,299,,0.20071685314178467,,0.8022274971008301,,
1,349,,0.36917561292648315,,0.6348134279251099,,
1,399,,0.49330782890319824,,0.5109323263168335,,
1,449,,0.672672688961029,,0.3373206853866577,,
1,493,,,,,0.4732784330844879,0.6656160354614258
1,493,0.43210017681121826,,0.5979241132736206,,,
2,499,,0.37293729186058044,,0.6277545094490051,,
2,549,,0.6112957000732422,,0.39794886112213135,,
2,599,,0.6130841374397278,,0.3872511386871338,,
2,649,,0.6170799136161804,,0.3919076919555664,,
2,699,,0.4317460358142853,,0.5792437195777893,,
2,740,,,,,0.46630460023880005,0.6718710064888
2,740,0.44752001762390137,,0.5757825970649719,,,
3,749,,0.4566115736961365,,0.5496160984039307,,
3,799,,0.7453415989875793,,0.2562463879585266,,
3,849,,0.4079602062702179,,0.5959609150886536,,
3,899,,0.5400943160057068,,0.4630722999572754,,
3,949,,0.25242719054222107,,0.7531691789627075,,
3,987,,,,,0.4447132647037506,0.6680687069892883
3,987,0.4607805907726288,,0.586699366569519,,,
4,999,,0.4932249188423157,,0.506649374961853,,
4,1049,,0.1601642668247223,,0.8438393473625183,,
4,1099,,0.30434781312942505,,0.6956067085266113,,
4,1149,,0.0,,0.9998423457145691,,
4,1199,,-7.182599802035838e-06,,0.0,,
4,1234,,,,,0.5013077259063721,0.6389714479446411
4,1234,0.4706747829914093,,0.5596449375152588,,,
5,1249,,0.27906978130340576,,0.7259916663169861,,
5,1299,,0.3760683834552765,,0.6226012110710144,,
5,1349,,0.40498441457748413,,0.5990874767303467,,
5,1399,,0.41333332657814026,,0.5852162837982178,,
